I really enjoyed this film.	1
The book was inspiring and beautifully written.	1
She is very kind and helpful.	1
This laptop works perfectly, no issues at all.	1
The concert was amazing, I had so much fun.	1
Excellent service and friendly staff.	1
The weather today is wonderful.	1
I feel great after that workout.	1
That was the best meal I've ever had.	1
I appreciate your help so much.	1
The new phone has fantastic features.	1
My vacation was relaxing and enjoyable.	1
I’m so proud of my team for winning.	1
The teacher explained everything clearly.	1
This cake tastes absolutely delicious.	1
She did an outstanding job on the project.	1
I love spending time with my family.	1
The painting is beautiful and full of detail.	1
That was a brilliant performance!	1
Everything about the trip went perfectly.	1
The dog is so cute and playful.	1
They offered quick and effective support.	1
This coffee is rich and flavorful.	1
The new update made the app much better.	1
I had a wonderful time with my friends.	1
This was the worst movie I’ve seen.	0
The hotel room was dirty and smelled bad.	0
I’m very disappointed with this product.	0
The food was cold and tasteless.	0
He is always rude and unhelpful.	0
The match was boring and predictable.	0
I regret buying this item.	0
The delivery took forever to arrive.	0
This phone keeps crashing all the time.	0
The experience was frustrating and stressful.	0
The teacher was unprepared and confusing.	0
I hate the new design of the website.	0
The shop assistant ignored me completely.	0
That was such a waste of money.	0
I will never recommend this service.	0
The room was too noisy to sleep in.	0
The app keeps freezing, it’s useless.	0
My order arrived broken and unusable.	0
I didn’t enjoy the play at all.	0
The customer service was unresponsive.	0
The packaging was damaged and messy.	0
The story was dull and uninteresting.	0
He failed to complete the task properly.	0
This restaurant is overpriced and overrated.	0
Everything went wrong on this trip.	0
